'50',,,'en','20-01-2015 21:19:54','20-01-2015 21:23:21','83.56.12.140','http://research.nualart.cat/survey/index.php/152341','A3','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0',,'1','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'51',,,'en','20-01-2015 21:29:15','20-01-2015 21:36:09','93.203.248.127','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0',,'1','2','no','A4','A1','A1','i am not happy with it... the patent documents are too generic','they must at least explain clearly what sets apart from other inventions',,,,,,,,,'1','patents should be decribed more in prose, describing the context of the invention fully the above formats read like computer program','A4','A4','A4','A4','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'52',,,'en','20-01-2015 22:03:07','20-01-2015 22:04:56','84.120.131.132','http://research.nualart.cat/survey/index.php/152341','A5','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','journalist','2','2','No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'54',,,'en','20-01-2015 23:19:57','20-01-2015 23:21:51','85.58.102.42','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','translator','2','2','NO','A1','A1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'55',,'20-01-2015 23:49:33','en','20-01-2015 23:38:16','20-01-2015 23:49:33','129.27.201.228','http://research.nualart.cat/survey/index.php/152341','A6','0','1','0','1','1','0','1','0','0','0','0','0','0','0','0',,'2','2',,'A5','A4','A4',,,'A2','A3','A7','A6','A4','A8','A5','A1',,,'A5','A1',,,'A5','A1','A2','A4',,,'A4',,,'A5','A5','A2','A1',,,'A4',,,'A5','A5','A2','A1',,,,,,,,'A1','A2',,,,,,,
'56',,,'en','21-01-2015 00:14:35','21-01-2015 00:18:32','37.133.230.190','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0',,'2','2','no',,'A1','A1','no one','improvin the readability',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'58',,,'en','21-01-2015 01:19:04','21-01-2015 01:19:04','79.152.182.150','http://research.nualart.cat/survey/index.php/152341',,'0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'60',,'21-01-2015 04:58:34','en','21-01-2015 04:19:16','21-01-2015 04:58:34','205.156.56.51','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,'2','2',,'A5','A5',,,,'A1','A4','A2','A3','A6','A7','A8','A5','1','I think it would be easier to evaluate the effectiveness of the options if the sample patent used were more realistic or perhaps better explained. Enhancing the presentation of the text of the patent is only part of the solution to make it more understandable. Adding complementary semantic elements (e.g. keywords or related patents would also help to give some context to improve ease of understanding.','A4','A5','A4',,'A5','A1','A2','A4','1','The jargon words used in the sample are too arbitrary to make good judgment of the effectiveness of the options.','A4','A4','A4',,'A4','A2','A1','1','Relevant picture is better than no picture, however I would really prefer to have a better sample patent and pictures to evaluate this.','A1','A5','A5',,'A3','A2','A1','1','By itself, the interactive option has the danger of hiding content of the patent. If this option were an optional (non-default) mode, this could be a beneficial enhancement.','A4','A4','A4',,'A4','A2','A1','1','The table is definitely helpful but the colors (as shown) are probably unnecessary, but more subtle colors might be helpful.','A5','A5','A5',,'A4'
'61',,'21-01-2015 04:47:28','en','21-01-2015 04:32:34','21-01-2015 04:47:28','77.103.184.216','http://research.nualart.cat/survey/index.php/152341','A5','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0',,'2','2',,'A1',,,,,,,,,,,,,'1',,'A3','A4','A3',,,,,,'1',,'A3','A3',,,,,,,,'A3','A3',,,,,,'1',,'A2','A2',,,,,,'1',,'A2','A2',,,
'62',,'21-01-2015 17:06:33','en','21-01-2015 16:52:16','21-01-2015 17:06:33','213.96.26.164','http://research.nualart.cat/survey/index.php/152341','A3','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,'1','1','NO','A1','A5','A5','There is not a real format that supports reading/ writing patents','A standard is needed','A6','A5','A3','A2','A4','A7','A8','A1','2',,'A5','A1','A5','A5','A4','A4','A2','A1','1','Ah hypetext  connected to the highlighted words','A1','A5','A5','A5','A5','A2','A1','2',,'A5','A5','A5','A5','A4','A1','A2',,,'A5','A5','A5','A5','A4','A2','A1','2',,'A1','A5','A5','A5','A4'
'64',,,'en','21-01-2015 18:47:53','21-01-2015 18:47:53','2.138.11.62','http://research.nualart.cat/survey/index.php/152341',,'0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'65',,'21-01-2015 19:07:52','en','21-01-2015 18:58:59','21-01-2015 19:07:52','80.25.28.210','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0',,'1','2','No','A1','A5','A5',,,'A3','A8','A7','A6','A2','A4','A5','A1',,,'A5','A5','A4','A4','A3','A4','A2','A1',,,'A5','A5','A4','A4','A3','A2','A1',,,'A1','A5','A5','A4','A3','A2','A1',,,'A1','A5','A4','A4','A3','A2','A1',,,'A1','A5','A4','A4','A3'
'66',,,'en','21-01-2015 22:13:50','21-01-2015 22:29:17','41.78.17.251','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1',,'2','2','I never used.','A4','A4','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'67',,'21-01-2015 22:41:46','en','21-01-2015 22:22:04','21-01-2015 22:41:46','94.136.19.6','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,'1','2','Around 2005, only for consulting some specs.','A5','A5','A5','Their structure.','To shorten them and focusing in main aspects.','A5','A7','A8','A6','A4','A3','A2','A1','1','It´s more clear at first sight and easiest to understand.','A1','A1','A1','A4','A4','A2','A4','A1','1','It allows to understand priorities.','A1','A5','A4','A4','A2','A2','A1','1','It helps to concrete the words and to associate concepts to images.','A1','A5','A4','A4','A2','A1','A2','1','It gives structure.','A1','A5','A4','A4','A3','A2','A1','1','The relationship is more clear and understandable.','A1','A5','A4','A4','A3'
'68',,,'en','22-01-2015 09:39:39','22-01-2015 09:52:43','12.13.14.15','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0',,'2','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'69',,'23-01-2015 00:36:52','en','23-01-2015 00:29:06','23-01-2015 00:36:52','129.79.37.27','http://research.nualart.cat/survey/index.php/152341','A6','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0',,'1','2',,'A4','A5','A4',,,,,,,,,,,,,'A1','A1','A5',,'A3',,,,,,'A4','A4','A4',,'A4',,,,,,,,,,,,,,,,,,,,,,,,,,,
'70',,,'en','25-01-2015 06:29:20','25-01-2015 06:33:26','193.83.229.102','http://research.nualart.cat/survey/index.php/152341','A2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','I''m retired, but I was a teacher for chemistry  in a junior college','2','2','no','A1','A1','A4','I don''t know any',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'71',,'26-01-2015 21:20:17','en','26-01-2015 20:59:01','26-01-2015 21:20:17','83.37.65.47','http://research.nualart.cat/survey/index.php/152341','A2','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,,'2',,,,,,,'A8','A7','A6','A5','A2','A4','A3','A1',,,'A1','A1','A4','A4','A2','A4','A1','A2','2',,'A5','A5','A5','A4','A2','A2','A1',,,'A1','A1','A5','A4','A2','A1','A2',,,'A1','A1','A5','A5','A2','A2','A1',,,'A1','A1','A5','A5','A2'
'72',,'27-01-2015 09:02:28','en','27-01-2015 08:28:30','27-01-2015 09:02:28','203.143.175.67','http://research.nualart.cat/survey/index.php/152341','A3','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0',,'1','2','Source of data. Analysis.','A5','A1','A5','Somewhat consistent due to the legal process encouraging the adoption of certain conventional wordings etc.  The layout of patents is also reasonably predictable.  For example the claims section follows a number of conventions.','I believe that the most significant changes could come though changes to the legal process, likely a slow process. If you want to truly understand the legal impact of the patent you will likely have to read the original text.  So the real fix is to make the patents more readable as published.  In the interim recognising "legalistic linguistic constructs" and converting them to a "plain english" version could be helpful.  Also expanding synonyms etc could make the patents easier to find.  Annotating patent text with links to definitions etc could also be useful.',,,,,,,,,'1','For the claims a collapsing tree structure structure would allow an overview, with drill down if needed.The front page information is also very important - Inventors, Assignees Classifications different strategies are need here that are not covered in this survey.','A5','A5','A5','A5','A4',,,,'2',,'A4','A4','A4','A4','A4',,,'2',,'A4','A4','A4','A4','A4',,,'2',,'A4','A4','A4','A4','A4',,,'1','Links or hovers to the definitions','A4','A4','A4','A4','A4'
'73',,'28-01-2015 12:37:04','en','28-01-2015 12:09:34','28-01-2015 12:37:04','203.143.170.19','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,'1','1','I used to write patent disclosures and make patent searches for that purpose. Last activity in that domain was in 2005.','A5','A5','A3','The claims list is usually the key reference for discriminating novelty. Coupled to the diagrams it usually gives a strong indication of the value of a patent.','As a reader, claims could be made clearer with concrete examples. As an author, it is obvious that I want to constrain my patent as little as possible. In that regard, it is difficult to suggest improvements, either in form or content (e.g. typical legal language is not suitable for an engineer, but may protect claims better).',,,,,,,,,'1','I am not sure, but perhaps the Indentation only type of model, but with key words highlighted, e.g. the words which are referred to such as "a cutting face" etc. i.e. the ones which are assigned thick graphical bars.Highlighting can be with bold font, different font size, and with increased spacing above them.','A5','A5','A4','A4','A5',,,,'2',,'A5','A5','A5','A5','A4',,,'1','Good for reading other patents, but as an author, I would be wary that the images may reduce the breadth of my claim!','A1','A1','A5','A3','A4',,,'2',,'A1','A1','A1','A5','A5',,,'1','The important part for me is to be able to click the classifications so I can find more related patents, or even better, get them to be used as filters in a new patent search.','A5','A5','A5','A5','A4'
'74',,'30-01-2015 03:41:59','en','30-01-2015 03:14:14','30-01-2015 03:41:59','77.228.119.45','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1',,'2','2','No','A1',,,,,'A8','A6','A7','A5','A4','A2','A3','A1','1','Colourful bars + indentation','A1','A1','A4','A4','A2','A2','A4','A1','2',,'A1','A1','A4','A4','A2','A2','A1',,,'A1','A1','A4',,'A2','A1','A2',,,'A1','A1','A4',,'A2','A2','A1',,,'A1','A1','A4',,'A2'
'75',,'30-01-2015 19:40:17','en','30-01-2015 19:33:05','30-01-2015 19:40:17','94.229.198.151','http://research.nualart.cat/survey/index.php/152341','A4','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','Cultural & Information occupation','1','2','NO','A1','A1','A5',,,'A6','A4','A5','A8','A7','A3','A2','A1',,,'A5','A5',,,,'A2','A4','A1',,,'A5','A5',,,,'A2','A1',,,'A5','A5',,,,'A2','A1',,,'A5','A5',,,,'A1','A2',,,'A5','A5',,,
'76',,,'en','31-01-2015 00:54:14','31-01-2015 00:56:27','84.88.86.40','http://research.nualart.cat/survey/index.php/152341','A5','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0',,'2','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'80',,'04-02-2015 12:35:01','en','04-02-2015 12:21:07','04-02-2015 12:35:01','58.169.48.178','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0',,'1','1','Yes, for freedom to operate surveys and finding out about commercial state-of-the-art','A1','A1','A1','Their heading structure is good and consistent across documents','My most common issues include inventing synonymous terms for searching and then defining if terms are used as synonyms in different applications','A5','A4','A7','A2','A6','A3','A8','A1','2',,'A1','A5','A5','A5','A5','A4','A2','A1','2',,'A1','A1','A1','A1','A5','A2','A1','1','The concepts as using pictures as a way to summarise content is good but the attached pictures need to match with the document content better.','A5','A5','A5','A5','A1','A2','A1','2',,'A5','A5','A5','A5','A1','A2','A1','2',,'A5','A5','A5','A5','A1'
'81',,,'en','04-02-2015 21:19:30','04-02-2015 21:22:43','14.202.199.107','http://research.nualart.cat/survey/index.php/152341','A6','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0',,'2','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'82',,,'en','04-02-2015 22:18:03','04-02-2015 22:18:27','62.218.164.126','http://research.nualart.cat/survey/index.php/152341','A5','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0',,'1','2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
